match_id,competition,season,date,home_team,away_team,home_goals,away_goals,matchday,stage,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls,away_fouls,home_possession,away_possession,home_xg,away_xg,first_half_home_goals,first_half_away_goals,minute_first_goal,home_goals_0_15,away_goals_0_15,home_goals_75_90,away_goals_75_90
554782,brasileirao,2026,2026-03-11,EC Bahia,EC Vitória,1,1,5,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554784,brasileirao,2026,2026-03-12,CR Flamengo,Cruzeiro EC,2,0,5,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554783,brasileirao,2026,2026-03-12,SC Corinthians Paulista,Coritiba FBC,0,2,5,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554787,brasileirao,2026,2026-03-12,Clube do Remo,Fluminense FC,0,2,5,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554789,brasileirao,2026,2026-03-12,CR Vasco da Gama,SE Palmeiras,2,1,5,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554788,brasileirao,2026,2026-03-12,São Paulo FC,Chapecoense AF,2,0,5,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554785,brasileirao,2026,2026-03-13,Grêmio FBPA,RB Bragantino,1,1,5,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554790,brasileirao,2026,2026-03-14,Botafogo FR,CR Flamengo,0,3,6,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554799,brasileirao,2026,2026-03-14,EC Vitória,CA Mineiro,2,0,6,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554791,brasileirao,2026,2026-03-15,RB Bragantino,São Paulo FC,1,2,6,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554794,brasileirao,2026,2026-03-15,Cruzeiro EC,CR Vasco da Gama,3,3,6,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554797,brasileirao,2026,2026-03-15,SE Palmeiras,Mirassol FC,1,0,6,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554795,brasileirao,2026,2026-03-15,Fluminense FC,CA Paranaense,3,2,6,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554798,brasileirao,2026,2026-03-15,Santos FC,SC Corinthians Paulista,1,1,6,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554796,brasileirao,2026,2026-03-15,SC Internacional,EC Bahia,0,1,6,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554793,brasileirao,2026,2026-03-15,Coritiba FBC,Clube do Remo,1,0,6,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554792,brasileirao,2026,2026-03-16,Chapecoense AF,Grêmio FBPA,1,1,6,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554806,brasileirao,2026,2026-03-18,Mirassol FC,Coritiba FBC,0,1,7,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554802,brasileirao,2026,2026-03-18,EC Bahia,RB Bragantino,2,0,7,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554807,brasileirao,2026,2026-03-18,SE Palmeiras,Botafogo FR,2,1,7,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554800,brasileirao,2026,2026-03-18,CA Paranaense,Cruzeiro EC,2,1,7,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554801,brasileirao,2026,2026-03-18,CA Mineiro,São Paulo FC,1,0,7,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554805,brasileirao,2026,2026-03-19,Grêmio FBPA,EC Vitória,2,0,7,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554804,brasileirao,2026,2026-03-19,CR Flamengo,Clube do Remo,3,0,7,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554808,brasileirao,2026,2026-03-19,Santos FC,SC Internacional,1,2,7,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554809,brasileirao,2026,2026-03-19,CR Vasco da Gama,Fluminense FC,3,2,7,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
554803,brasileirao,2026,2026-03-20,Chapecoense AF,SC Corinthians Paulista,0,0,7,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,
